customer_id,first_name,last_name,email,country,signup_date,_ingestion_timestamp
CUST-1001,Skyler,Patel,skyler.patel1@example.com,GB,2024-01-01,2024-01-02 23:00:00
CUST-1002,Taylor,Smith,taylor.smith2@example.com,IN,2024-01-05,2024-01-06 23:00:00
CUST-1003,Skyler,Davis,skyler.davis3@example.com,IN,2024-01-29,2024-01-30 10:00:00
CUST-1004,Drew,Brown,drew.brown4@example.com,IN,2024-01-02,2024-01-02 01:00:00
CUST-1005,Taylor,Smith,taylor.smith5@example.com,US,2024-01-17,2024-01-18 14:00:00
CUST-1006,Morgan,Smith,morgan.smith6@example.com,AU,2024-01-23,2024-01-24 17:00:00
CUST-1007,Taylor,Wilson,taylor.wilson7@example.com,US,2024-01-19,2024-01-19 17:00:00
CUST-1008,Cameron,Rao,cameron.rao8@example.com,AU,2024-01-06,2024-01-07 20:00:00
CUST-1009,Riley,Khan,riley.khan9@example.com,CA,2024-01-05,2024-01-05 13:00:00
CUST-1010,Sam,Patel,sam.patel10@example.com,CA,2024-01-13,2024-01-13 06:00:00
CUST-1011,Hayden,Nguyen,hayden.nguyen11@example.com,US,2024-01-20,2024-01-20 16:00:00
CUST-1012,Reese,Wilson,reese.wilson12@example.com,AU,2024-01-18,2024-01-18 07:00:00
CUST-1013,Sam,Cohen,sam.cohen13@example.com,CA,2024-01-10,2024-01-11 16:00:00
CUST-1014,Drew,Smith,drew.smith14@example.com,US,2024-01-23,2024-01-23 04:00:00
CUST-1015,Skyler,Smith,skyler.smith15@example.com,IN,2024-01-25,2024-01-25 18:00:00
CUST-1016,Hayden,Smith,hayden.smith16@example.com,AU,2024-01-28,2024-01-28 06:00:00
CUST-1017,Casey,Wilson,casey.wilson17@example.com,BR,2024-01-21,2024-01-21 23:00:00
CUST-1018,Riley,Nguyen,riley.nguyen18@example.com,GB,2024-01-07,2024-01-08 18:00:00
CUST-1019,Reese,Park,reese.park19@example.com,IN,2024-01-22,2024-01-23 17:00:00
CUST-1020,Drew,Martinez,drew.martinez20@example.com,DE,2024-01-06,2024-01-07 10:00:00
CUST-1021,Jordan,Wilson,jordan.wilson21@example.com,DE,2024-01-13,2024-01-13 17:00:00
CUST-1022,Skyler,Nguyen,skyler.nguyen22@example.com,DE,2024-01-27,2024-01-27 03:00:00
CUST-1023,Hayden,Lee,hayden.lee23@example.com,AU,2024-01-26,2024-01-26 20:00:00
CUST-1024,Casey,Patel,casey.patel24@example.com,CA,2024-01-07,2024-01-08 12:00:00
CUST-1025,Taylor,Martinez,taylor.martinez25@example.com,JP,2024-01-16,2024-01-17 01:00:00
CUST-1026,Jordan,Khan,jordan.khan26@example.com,GB,2024-01-05,2024-01-05 15:00:00
CUST-1027,Reese,Singh,reese.singh27@example.com,AU,2024-01-14,2024-01-15 13:00:00
CUST-1028,Riley,Smith,riley.smith28@example.com,JP,2024-01-05,2024-01-06 08:00:00
CUST-1029,Sam,Rao,sam.rao29@example.com,BR,2024-01-02,2024-01-02 07:00:00
CUST-1030,Skyler,Garcia,skyler.garcia30@example.com,AU,2024-01-26,2024-01-27 19:00:00
CUST-1031,Drew,Patel,drew.patel31@example.com,JP,2024-01-13,2024-01-14 00:00:00
CUST-1032,Morgan,Khan,morgan.khan32@example.com,IN,2024-01-18,2024-01-18 00:00:00
CUST-1033,Skyler,Park,skyler.park33@example.com,GB,2024-01-18,2024-01-20 00:00:00
CUST-1034,Cameron,Martinez,cameron.martinez34@example.com,GB,2024-01-11,2024-01-11 07:00:00
CUST-1035,Avery,Garcia,avery.garcia35@example.com,GB,2024-01-15,2024-01-15 00:00:00
CUST-1036,Morgan,Rao,morgan.rao36@example.com,IN,2024-01-06,2024-01-07 08:00:00
CUST-1037,Hayden,Martinez,hayden.martinez37@example.com,DE,2024-01-10,2024-01-11 16:00:00
CUST-1038,Jordan,Nguyen,jordan.nguyen38@example.com,US,2024-01-25,2024-01-25 10:00:00
CUST-1039,Drew,Nguyen,drew.nguyen39@example.com,IN,2024-01-16,2024-01-16 01:00:00
CUST-1040,Parker,Nguyen,parker.nguyen40@example.com,DE,2024-01-29,2024-01-29 19:00:00
CUST-1041,Alex,Smith,alex.smith41@example.com,IN,2024-01-29,2024-01-30 12:00:00
CUST-1042,Sam,Davis,sam.davis42@example.com,BR,2024-01-16,2024-01-16 04:00:00
CUST-1043,Jordan,Martinez,jordan.martinez43@example.com,BR,2024-01-16,2024-01-17 11:00:00
CUST-1044,Casey,Cohen,casey.cohen44@example.com,AU,2024-01-28,2024-01-29 14:00:00
CUST-1045,Taylor,Park,taylor.park45@example.com,DE,2024-01-18,2024-01-20 00:00:00
CUST-1046,Reese,Khan,reese.khan46@example.com,CA,2024-01-13,2024-01-14 18:00:00
CUST-1047,Quinn,Park,quinn.park47@example.com,IN,2024-01-17,2024-01-18 04:00:00
CUST-1048,Taylor,Smith,taylor.smith48@example.com,US,2024-01-03,2024-01-03 21:00:00
CUST-1049,Drew,Cohen,drew.cohen49@example.com,DE,2024-01-08,2024-01-09 13:00:00
CUST-1050,Alex,Patel,alex.patel50@example.com,US,2024-01-23,2024-01-24 16:00:00
CUST-1051,Taylor,Patel,taylor.patel51@example.com,CA,2024-01-29,2024-01-29 02:00:00
CUST-1052,Sam,Cohen,sam.cohen52@example.com,JP,2024-01-08,2024-01-08 17:00:00
CUST-1053,Taylor,Cohen,taylor.cohen53@example.com,JP,2024-01-05,2024-01-06 22:00:00
CUST-1054,Taylor,Rao,taylor.rao54@example.com,DE,2024-01-16,2024-01-17 02:00:00
CUST-1055,Sam,Patel,sam.patel55@example.com,CA,2024-01-22,2024-01-23 03:00:00
CUST-1056,Avery,Brown,avery.brown56@example.com,US,2024-01-15,2024-01-16 22:00:00
CUST-1057,Skyler,Martinez,skyler.martinez57@example.com,US,2024-01-21,2024-01-21 06:00:00
CUST-1058,Avery,Davis,avery.davis58@example.com,DE,2024-01-11,2024-01-11 06:00:00
CUST-1059,Taylor,Smith,taylor.smith59@example.com,BR,2024-01-18,2024-01-19 04:00:00
CUST-1060,Avery,Garcia,avery.garcia60@example.com,DE,2024-01-09,2024-01-10 05:00:00
CUST-1061,Hayden,Park,hayden.park61@example.com,IN,2024-01-03,2024-01-04 04:00:00
CUST-1062,Alex,Martinez,alex.martinez62@example.com,IN,2024-01-18,2024-01-18 00:00:00
CUST-1063,Parker,Rao,parker.rao63@example.com,BR,2024-01-28,2024-01-28 15:00:00
CUST-1064,Avery,Wilson,avery.wilson64@example.com,AU,2024-01-16,2024-01-16 13:00:00
CUST-1065,Parker,Lee,parker.lee65@example.com,US,2024-01-06,2024-01-07 00:00:00
CUST-1066,Avery,Khan,avery.khan66@example.com,GB,2024-01-30,2024-01-31 05:00:00
CUST-1067,Avery,Davis,avery.davis67@example.com,JP,2024-01-31,2024-02-01 22:00:00
CUST-1068,Jordan,Smith,jordan.smith68@example.com,US,2024-01-10,2024-01-10 13:00:00
CUST-1069,Drew,Davis,drew.davis69@example.com,CA,2024-01-18,2024-01-18 03:00:00
CUST-1070,Alex,Lee,alex.lee70@example.com,BR,2024-01-19,2024-01-20 06:00:00
CUST-1071,Alex,Cohen,alex.cohen71@example.com,IN,2024-01-03,2024-01-03 11:00:00
